title,avg_reviews,complete_link,publisher,price,pages
Practical Deep Learning: A Python-Based Introduction,4.7,https://www.amazon.com/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,"No Starch Press (February 23, 2021)",36.99,464
Deep Learning from Scratch: Building with Python from First Principles,4.3,https://www.amazon.com/Deep-Learning-Scratch-Building-Principles/dp/1492041416/ref=sr_1_248?keywords=python&qid=1671164927&sr=8-248,"O'Reilly Media; 1st edition (October 1, 2019)",38.99,252
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications,4.6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04293192DSFDADI165KD&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Computer-Vision-PyTorch-applications%2Fdp%2F1839213477%2Fref%3Dsr_1_178_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-178-spons%26psc%3D1,"Packt Publishing (November 27, 2020)",48.84,824
Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning,5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A05576263RIE78WQ9ISQM&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Time-Forecasting-Python-industry-ready%2Fdp%2F1803246804%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-177-spons%26psc%3D1,"Packt Publishing (November 24, 2022)",44.99,552
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,4.5,https://www.amazon.com/Machine-Learning-Python-Cookbook-Preprocessing/dp/1491989386/ref=sr_1_293?keywords=python&qid=1671164936&sr=8-293,"O'Reilly Media; 1st edition (April 17, 2018)",49.18,366
3D Deep Learning with Python: Design and develop your computer vision model with 3D data using PyTorch3D and more,5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg7_1?ie=UTF8&adId=A0406705101WO6R0GTUW7&qualifier=1671164946&id=2033667521903954&widgetName=sp_mtf&url=%2F3D-Deep-Learning-Python-PyTorch3D%2Fdp%2F1803247827%2Fref%3Dsr_1_316_sspa%3Fkeywords%3Dpython%26qid%3D1671164946%26sr%3D8-316-spons%26psc%3D1,"Packt Publishing (October 31, 2022)",39.99,236
Deep Learning with PyTorch Lightning: Swiftly build high-performance Artificial Intelligence (AI) models using Python,4.3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A03892411290WXWPESCD7&qualifier=1671164927&id=6244678831365742&widgetName=sp_mtf&url=%2FDeep-Learning-PyTorch-Lightning-high-performance%2Fdp%2F180056161X%2Fref%3Dsr_1_209_sspa%3Fkeywords%3Dpython%26qid%3D1671164927%26sr%3D8-209-spons%26psc%3D1,"Packt Publishing (April 29, 2022)",46.99,366
"The Python Bible 7 in 1: Volumes One To Seven (Beginner, Intermediate, Data Science, Machine Learning, Finance, Neural Networks, Computer Vision)",4.5,https://www.amazon.com/Python-Bible-Beginner-Intermediate-Learning/dp/B0863R7BZS/ref=sr_1_62?keywords=python&qid=1671164900&sr=8-62,"Independently published (March 23, 2020)",39.99,507
"Deep Learning with Python, Second Edition",4.7,https://www.amazon.com/Learning-Python-Second-Fran%C3%A7ois-Chollet/dp/1617296864/ref=sr_1_59?keywords=python&qid=1671164900&sr=8-59,"Manning; 2nd edition (December 21, 2021)",39.49,504
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,4.6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06644962ZEDTH7LTE0PB&qualifier=1671165042&id=1040193484027598&widgetName=sp_mtf&url=%2FMachine-Learning-PyTorch-Scikit-Learn-learning%2Fdp%2F1801819319%2Fref%3Dsr_1_113_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671165042%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-113-spons%26psc%3D1,"Packt Publishing (February 25, 2022)",39.02,774
