title,avg_reviews,complete_link,publisher,price,pages
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,4.9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1,"Packt Publishing (October 31, 2022)",49.99,442
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,4.4,https://www.amazon.com/Applied-Text-Analysis-Python-Language-Aware/dp/1491963042/ref=sr_1_105?keywords=data+analysis&qid=1671164651&sr=8-105,"O'Reilly Media; 1st edition (July 17, 2018)",44.99,332
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",5.0,https://www.amazon.com/Machine-Learning-Explained-Simple-Way/dp/B0BLBBNTV4/ref=sr_1_155?keywords=data+analysis&qid=1671164661&sr=8-155,"Independently published (October 31, 2022)",11.97,216
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),4.5,https://www.amazon.com/Supervised-Machine-Learning-Analysis-Chapman/dp/0367554194/ref=sr_1_136?keywords=data+analysis&qid=1671164661&sr=8-136,"Chapman and Hall/CRC; 1st edition (October 22, 2021)",43.52,402
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",4.6,https://www.amazon.com/Python-programming-Beginners-Programming-Languages/dp/B09RLRHNGS/ref=sr_1_203?keywords=data+analysis&qid=1671164670&sr=8-203,"Independently published (February 4, 2022)",24.95,472
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,4.1,https://www.amazon.com/Introduction-Machine-Learning-Rigorous-Mathematical/dp/1491976446/ref=sr_1_197?keywords=data+analysis&qid=1671164670&sr=8-197,"O'Reilly Media; 1st edition (April 17, 2018)",40.49,226
Machine Learning: A First Course for Engineers and Scientists,5.0,https://www.amazon.com/Machine-Learning-Course-Engineers-Scientists/dp/1108843603/ref=sr_1_181?keywords=data+analysis&qid=1671164670&sr=8-181,"Cambridge University Press; New edition (June 2, 2022)",69.99,350
Machine Learning Bookcamp: Build a portfolio of real-life projects,4.5,https://www.amazon.com/Machine-Learning-Bookcamp-portfolio-real-life/dp/1617296813/ref=sr_1_247?keywords=data+analysis&qid=1671164678&sr=8-247,"Manning (November 23, 2021)",35.99,472
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,4.3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0248409K5R49SPUHIZU&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FPractical-Discrete-Mathematics-principles-algorithms%2Fdp%2F1838983147%2Fref%3Dsr_1_179_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-179-spons%26psc%3D1,"Packt Publishing (February 22, 2021)",62.99,330
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,1.0,https://www.amazon.com/Python-Data-Analysis-Principles-Programming/dp/1803064420/ref=sr_1_224?keywords=data+analysis&qid=1671164678&sr=8-224,"Robert Campbell (October 16, 2022)",33.99,74
Big Data Analysis with Python: Combine Spark and Python to unlock the powers of parallel computing and machine learning,3.7,https://www.amazon.com/Big-Data-Analysis-Python-computing-ebook/dp/B07KX3W4K5/ref=sr_1_204?keywords=data+analysis&qid=1671164678&sr=8-204,"Packt Publishing; 1st edition (April 10, 2019)",13.29,278
