title,avg_reviews,complete_link,publisher
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",4.3,https://www.amazon.com/Head-First-Data-Analysis-statistics/dp/0596153937/ref=sr_1_15?keywords=data+analysis&qid=1671164640&sr=8-15,"O'Reilly Media; 1st edition (August 18, 2009)"
Think Bayes: Bayesian Statistics in Python (O'reilly),4.5,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,"O'Reilly Media; 2nd edition (June 8, 2021)"
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,4.6,https://www.amazon.com/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,"SAGE Publications, Inc; 1st edition (January 29, 2019)"
Naked Statistics: Stripping the Dread from the Data,4.6,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_99?keywords=data+analysis&qid=1671164651&sr=8-99,"W. W. Norton & Company; 1st edition (January 13, 2014)"
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),4.3,https://www.amazon.com/Statistics-Data-Analysis-Financial-Engineering/dp/1493926136/ref=sr_1_88?keywords=data+analysis&qid=1671164651&sr=8-88,"Springer; 2nd ed. 2015 edition (April 22, 2015)"
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",4.6,https://www.amazon.com/Probability-Workbook-6th-8th-Calculating-Statistics-Probabilities/dp/148381663X/ref=sr_1_149?keywords=data+analysis&qid=1671164661&sr=8-149,"Spectrum; Workbook edition (February 25, 2015)"
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),4.3,https://www.amazon.com/Statistics-Trading-Floor-Science-Investing/dp/B088N8X379/ref=sr_1_142?keywords=data+analysis&qid=1671164661&sr=8-142,"Independently published (May 14, 2020)"
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),4.0,https://www.amazon.com/Statistical-Analysis-Excel-Dummies-Computer/dp/1119844541/ref=sr_1_135?keywords=data+analysis&qid=1671164661&sr=8-135,"For Dummies; 5th edition (December 30, 2021)"
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",5.0,https://www.amazon.com/Statistical-Analysis-fMRI-Data-Press/dp/0262042681/ref=sr_1_200?keywords=data+analysis&qid=1671164670&sr=8-200,"The MIT Press; second edition (September 17, 2019)"
Categorical Data Analysis (Wiley Series in Probability and Statistics),4.4,https://www.amazon.com/Categorical-Analysis-Wiley-Probability-Statistics/dp/0471360937/ref=sr_1_198?keywords=data+analysis&qid=1671164670&sr=8-198,"Wiley-Interscience; 2nd edition (July 22, 2002)"
Statistical Analysis with R For Dummies (For Dummies (Computers)),4.6,https://www.amazon.com/Statistical-Analysis-Dummies-Computers/dp/1119337062/ref=sr_1_196?keywords=data+analysis&qid=1671164670&sr=8-196,"For Dummies; 1st edition (March 20, 2017)"
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",4.4,https://www.amazon.com/Introduction-Categorical-Analysis-Probability-Statistics/dp/1119405262/ref=sr_1_192?keywords=data+analysis&qid=1671164670&sr=8-192,"Wiley; 3rd edition (November 5, 2018)"
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,4.3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0248409K5R49SPUHIZU&qualifier=1671164670&id=7576373399363255&widgetName=sp_mtf&url=%2FPractical-Discrete-Mathematics-principles-algorithms%2Fdp%2F1838983147%2Fref%3Dsr_1_179_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164670%26sr%3D8-179-spons%26psc%3D1,"Packt Publishing (February 22, 2021)"
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1),4.6,https://www.amazon.com/Big-Data-Healthcare-Statistical-Electronic/dp/1640550631/ref=sr_1_239?keywords=data+analysis&qid=1671164678&sr=8-239,"AUPHA/HAP Book; 1st edition (February 18, 2020)"
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),5.0,https://www.amazon.com/Applying-Quantitative-Bias-Analysis-to-Epidemiologic-Data-_Statistics-for-Biology-and-Health_/dp/3030826724/ref=sr_1_238?keywords=data+analysis&qid=1671164678&sr=8-238,"Springer; 2nd ed. 2021 edition (March 25, 2022)"
Introduction to Statistics and Data Analysis,4.5,https://www.amazon.com/Introduction-Statistics-Data-Analysis-Roxy/dp/1305115341/ref=sr_1_295?keywords=data+analysis&qid=1671164689&sr=8-295,"Brooks Cole; 5th edition (January 1, 2015)"
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)",4.5,https://www.amazon.com/Accelerated-Testing-Statistical-Probability-Statistics/dp/0471522775/ref=sr_1_291?keywords=data+analysis&qid=1671164689&sr=8-291,"Wiley-Interscience; 1st edition (February 1, 1990)"
Approximation Theory and Algorithms for Data Analysis (Texts in Applied Mathematics Book 68),4.5,https://www.amazon.com/Approximation-Algorithms-Analysis-Applied-Mathematics-ebook/dp/B07QQV29K7/ref=sr_1_288?keywords=data+analysis&qid=1671164689&sr=8-288,"Springer; 1st ed. 2018 edition (December 14, 2018)"
